Time;Hour;0x00;0x01;0x02;0x03;QoS 1;BE 3;BE 4
113;2020-11-23T18:47:36+01:00;18.881;null;null;null;null;681.915;null
114;2020-11-23T18:47:37+01:00;29.186;null;null;null;null;513.272;null
115;2020-11-23T18:47:38+01:00;4.792;null;null;null;null;424.888;null
116;2020-11-23T18:47:39+01:00;48.876;null;null;null;null;409.738;null
117;2020-11-23T18:47:40+01:00;18.808;null;null;null;null;452.159;null
118;2020-11-23T18:47:41+01:00;4.557;null;null;null;null;583.8;null
119;2020-11-23T18:47:42+01:00;21.369;null;null;null;null;null;null
120;2020-11-23T18:47:43+01:00;null;null;null;null;null;613.201;null
121;2020-11-23T18:47:44+01:00;34.081;null;null;null;null;641.55;null
122;2020-11-23T18:47:45+01:00;17.39;null;null;null;null;682.3;null
123;2020-11-23T18:47:46+01:00;72.155;null;null;null;null;685.721;null
124;2020-11-23T18:47:47+01:00;22.435;null;null;null;null;642.673;null
125;2020-11-23T18:47:48+01:00;31.229;null;null;null;null;672.824;null
126;2020-11-23T18:47:49+01:00;18.208;null;null;null;null;660.679;null
127;2020-11-23T18:47:50+01:00;17.081;null;null;null;null;679.07;null
128;2020-11-23T18:47:51+01:00;11.516;null;null;null;null;662.851;null
129;2020-11-23T18:47:52+01:00;10.078;null;null;null;null;740.711;null
130;2020-11-23T18:47:53+01:00;39.733;null;null;null;null;null;null
131;2020-11-23T18:47:54+01:00;12.002;null;null;null;null;null;null
132;2020-11-23T18:47:55+01:00;21.991;null;null;null;null;null;null
133;2020-11-23T18:47:56+01:00;21.991;null;null;null;null;null;null
134;2020-11-23T18:47:57+01:00;37.26;null;null;null;null;null;null
135;2020-11-23T18:47:58+01:00;55.642;null;null;null;null;null;null
136;2020-11-23T18:47:59+01:00;9.576;null;null;null;null;null;null
137;2020-11-23T18:48:00+01:00;14.105;null;null;null;null;null;null
138;2020-11-23T18:48:01+01:00;21.012;null;null;null;null;null;null
139;2020-11-23T18:48:02+01:00;39.38;null;null;null;null;null;null
140;2020-11-23T18:48:03+01:00;null;null;null;null;null;null;null
141;2020-11-23T18:48:04+01:00;36.627;null;null;null;null;null;null
142;2020-11-23T18:48:05+01:00;21.305;null;null;null;null;null;null
143;2020-11-23T18:48:06+01:00;22.59;null;null;null;null;null;null
144;2020-11-23T18:48:07+01:00;0.032;null;null;null;null;null;null
145;2020-11-23T18:48:08+01:00;0.031;null;null;null;null;null;null
146;2020-11-23T18:48:09+01:00;0.033;null;null;null;null;null;null
147;2020-11-23T18:48:10+01:00;0.046;null;null;null;null;null;null
148;2020-11-23T18:48:11+01:00;0.035;null;null;null;null;null;null
149;2020-11-23T18:48:12+01:00;0.037;null;null;null;null;null;null
150;2020-11-23T18:48:13+01:00;0.028;null;null;null;null;null;null
151;2020-11-23T18:48:14+01:00;0.039;null;null;null;null;null;null
152;2020-11-23T18:48:15+01:00;0.033;null;null;null;null;null;null
153;2020-11-23T18:48:16+01:00;0.031;null;null;null;null;null;null
154;2020-11-23T18:48:17+01:00;0.032;null;null;null;null;null;null
155;2020-11-23T18:48:18+01:00;0.036;null;null;null;null;null;null
156;2020-11-23T18:48:19+01:00;0.047;null;null;null;null;null;null
157;2020-11-23T18:48:20+01:00;0.032;null;null;null;null;null;null
158;2020-11-23T18:48:21+01:00;0.043;null;null;null;null;null;null
159;2020-11-23T18:48:22+01:00;0.033;null;null;null;null;null;null
160;2020-11-23T18:48:23+01:00;null;null;null;null;null;null;null
161;2020-11-23T18:48:24+01:00;0.036;null;null;null;null;null;null
162;2020-11-23T18:48:25+01:00;0.035;null;null;null;null;null;null
163;2020-11-23T18:48:26+01:00;0.029;null;null;null;null;null;null
164;2020-11-23T18:48:27+01:00;0.03;null;null;null;null;null;null
165;2020-11-23T18:48:28+01:00;0.032;null;null;null;null;null;null
166;2020-11-23T18:48:29+01:00;0.034;null;null;null;null;null;null
167;2020-11-23T18:48:30+01:00;0.027;null;null;null;null;null;null
168;2020-11-23T18:48:31+01:00;0.034;null;null;null;null;null;null
169;2020-11-23T18:48:32+01:00;0.031;null;null;null;null;null;null
170;2020-11-23T18:48:33+01:00;0.031;null;null;null;null;null;null
171;2020-11-23T18:48:34+01:00;0.042;null;null;null;null;null;null
172;2020-11-23T18:48:35+01:00;0.033;null;null;null;null;null;null
173;2020-11-23T18:48:36+01:00;0.033;null;null;null;null;null;null
174;2020-11-23T18:48:37+01:00;0.042;null;null;null;null;null;null
175;2020-11-23T18:48:38+01:00;0.034;null;null;null;null;null;null
176;2020-11-23T18:48:39+01:00;0.025;null;null;null;null;null;null
177;2020-11-23T18:48:40+01:00;0.033;null;null;null;null;null;null
178;2020-11-23T18:48:41+01:00;0.032;null;null;null;null;null;null
179;2020-11-23T18:48:42+01:00;0.032;null;null;null;null;null;null
180;2020-11-23T18:48:43+01:00;null;null;null;null;null;null;null
181;2020-11-23T18:48:44+01:00;0.043;null;null;null;null;null;null
182;2020-11-23T18:48:45+01:00;0.028;null;null;null;null;null;null
183;2020-11-23T18:48:46+01:00;0.027;null;null;null;null;null;null
184;2020-11-23T18:48:47+01:00;0.065;null;null;null;null;null;null
185;2020-11-23T18:48:48+01:00;0.034;null;null;null;null;null;null
186;2020-11-23T18:48:49+01:00;0.026;null;null;null;null;null;null
187;2020-11-23T18:48:50+01:00;0.042;null;null;null;null;null;null
188;2020-11-23T18:48:51+01:00;0.032;null;null;null;null;null;null
189;2020-11-23T18:48:52+01:00;0.031;null;null;null;null;null;null
190;2020-11-23T18:48:53+01:00;0.033;null;null;null;null;null;null
191;2020-11-23T18:48:54+01:00;0.034;null;null;null;null;null;null
192;2020-11-23T18:48:55+01:00;0.029;null;null;null;null;null;null
193;2020-11-23T18:48:56+01:00;0.032;null;null;null;null;null;null
194;2020-11-23T18:48:57+01:00;0.029;null;null;null;null;null;null
195;2020-11-23T18:48:58+01:00;0.03;null;null;null;null;null;null
196;2020-11-23T18:48:59+01:00;0.043;null;null;null;null;null;null
197;2020-11-23T18:49:00+01:00;0.025;null;null;null;null;null;null
198;2020-11-23T18:49:01+01:00;0.03;null;null;null;null;null;null
199;2020-11-23T18:49:02+01:00;0.032;null;null;null;null;null;null
200;2020-11-23T18:49:03+01:00;null;null;null;null;null;null;null
201;2020-11-23T18:49:04+01:00;0.03;null;null;null;null;null;null
202;2020-11-23T18:49:05+01:00;0.037;null;null;null;null;null;null
203;2020-11-23T18:49:06+01:00;0.032;null;null;null;null;null;null
204;2020-11-23T18:49:07+01:00;0.031;null;null;null;null;null;null
205;2020-11-23T18:49:08+01:00;0.034;null;null;null;null;null;null
206;2020-11-23T18:49:09+01:00;0.035;null;null;null;null;null;null
207;2020-11-23T18:49:10+01:00;0.03;null;null;null;null;null;null
208;2020-11-23T18:49:11+01:00;0.025;null;null;null;null;null;null
209;2020-11-23T18:49:12+01:00;0.029;null;null;null;null;null;null
210;2020-11-23T18:49:13+01:00;0.033;null;null;null;null;null;null
211;2020-11-23T18:49:14+01:00;0.034;null;null;null;null;287.146;null
212;2020-11-23T18:49:15+01:00;44.58;null;null;null;null;608.119;null
213;2020-11-23T18:49:16+01:00;25.511;null;null;null;null;608.564;null
214;2020-11-23T18:49:17+01:00;14.247;null;null;null;null;536.639;null
215;2020-11-23T18:49:18+01:00;32.082;null;null;null;null;557.774;null
216;2020-11-23T18:49:19+01:00;13.922;null;null;null;null;590.739;null
217;2020-11-23T18:49:20+01:00;14.303;null;null;null;null;640.971;null
218;2020-11-23T18:49:21+01:00;14.086;null;null;null;null;638.743;null
219;2020-11-23T18:49:22+01:00;21.851;null;null;null;null;null;null
220;2020-11-23T18:49:23+01:00;null;null;null;null;null;630.975;null
221;2020-11-23T18:49:24+01:00;34.704;null;null;null;null;630.286;null
222;2020-11-23T18:49:25+01:00;25.031;null;null;null;null;596.144;null
223;2020-11-23T18:49:26+01:00;21.42;null;null;null;null;576.875;null
224;2020-11-23T18:49:27+01:00;33.808;null;null;null;null;543.936;null
225;2020-11-23T18:49:28+01:00;11.112;null;null;null;null;683.904;null
226;2020-11-23T18:49:29+01:00;0.035;null;null;null;null;682.628;null
227;2020-11-23T18:49:30+01:00;0.031;null;null;null;null;682.082;null
228;2020-11-23T18:49:31+01:00;0.029;null;null;null;null;676.794;null
229;2020-11-23T18:49:32+01:00;0.024;null;null;null;null;679.591;null
230;2020-11-23T18:49:33+01:00;0.02;null;null;null;null;681.975;null
231;2020-11-23T18:49:34+01:00;0.033;null;null;null;null;679.936;null
232;2020-11-23T18:49:35+01:00;0.033;null;null;null;null;738.282;null
233;2020-11-23T18:49:36+01:00;0.024;null;null;null;null;805.112;null
234;2020-11-23T18:49:37+01:00;0.038;null;null;null;null;835.944;null
235;2020-11-23T18:49:38+01:00;0.029;null;null;null;null;759.358;null
236;2020-11-23T18:49:39+01:00;0.029;null;null;null;null;739.889;null
237;2020-11-23T18:49:40+01:00;0.024;null;null;null;null;735.936;null
238;2020-11-23T18:49:41+01:00;0.035;null;null;null;null;723.895;null
239;2020-11-23T18:49:42+01:00;0.018;null;null;null;null;null;null
240;2020-11-23T18:49:43+01:00;0.032;null;null;null;null;671.436;null
241;2020-11-23T18:49:44+01:00;0.022;null;null;null;null;749.037;null
242;2020-11-23T18:49:45+01:00;0.022;null;null;null;null;796.356;null
243;2020-11-23T18:49:46+01:00;8.755;null;null;null;null;771.098;null
244;2020-11-23T18:49:47+01:00;0.03;null;null;null;null;704.837;null
245;2020-11-23T18:49:48+01:00;5.556;null;null;null;null;680.731;null
246;2020-11-23T18:49:49+01:00;5.556;null;null;null;null;783.197;null
247;2020-11-23T18:49:50+01:00;11.939;null;null;null;null;670.842;null
248;2020-11-23T18:49:51+01:00;0.168;null;null;null;null;773.246;null
249;2020-11-23T18:49:52+01:00;2.785;null;null;null;null;760.719;null
250;2020-11-23T18:49:53+01:00;2.785;null;null;null;null;837.405;null
251;2020-11-23T18:49:54+01:00;0.033;null;null;null;null;793.36;null
252;2020-11-23T18:49:55+01:00;0.036;null;null;null;null;698.59;null
253;2020-11-23T18:49:56+01:00;0.03;null;null;null;null;770.282;null
254;2020-11-23T18:49:57+01:00;0.041;null;null;null;null;732.964;null
255;2020-11-23T18:49:58+01:00;0.035;null;null;null;null;741.058;null
256;2020-11-23T18:49:59+01:00;0.02;null;null;null;null;696.748;null
257;2020-11-23T18:50:00+01:00;0.039;null;null;null;null;706.154;null
258;2020-11-23T18:50:01+01:00;0.023;null;null;null;null;738.157;null
259;2020-11-23T18:50:02+01:00;0.076;null;null;null;null;null;null
260;2020-11-23T18:50:03+01:00;0.076;null;null;null;null;733.047;null
261;2020-11-23T18:50:04+01:00;9.504;null;null;null;null;753.656;null
262;2020-11-23T18:50:05+01:00;3.829;null;null;null;null;650.461;null
263;2020-11-23T18:50:06+01:00;0.021;null;null;null;null;709.403;null
264;2020-11-23T18:50:07+01:00;0.028;null;null;null;null;697.152;null
265;2020-11-23T18:50:08+01:00;0.04;null;null;null;null;836.303;null
266;2020-11-23T18:50:09+01:00;0.052;null;null;null;null;768.39;null
267;2020-11-23T18:50:10+01:00;0.036;null;null;null;null;810.652;null
268;2020-11-23T18:50:11+01:00;0.036;null;null;null;null;811.602;null
269;2020-11-23T18:50:12+01:00;0.026;null;null;null;null;792.209;null
270;2020-11-23T18:50:13+01:00;14.337;null;null;null;null;810.767;null
271;2020-11-23T18:50:14+01:00;14.337;null;null;null;null;959.498;null
272;2020-11-23T18:50:15+01:00;0.039;null;null;null;null;811.435;null
273;2020-11-23T18:50:16+01:00;0.021;null;null;null;null;808.025;null
274;2020-11-23T18:50:17+01:00;0.025;null;null;null;null;808.215;null
275;2020-11-23T18:50:18+01:00;0.028;null;null;null;null;717.143;null
276;2020-11-23T18:50:19+01:00;0.034;null;null;null;null;766.239;null
277;2020-11-23T18:50:20+01:00;0.019;null;null;null;null;691.815;null
278;2020-11-23T18:50:21+01:00;0.018;null;null;null;null;694.469;null
279;2020-11-23T18:50:22+01:00;null;null;null;null;null;null;null
280;2020-11-23T18:50:23+01:00;0.019;null;null;null;null;687.285;null
281;2020-11-23T18:50:24+01:00;0.019;null;null;null;null;607.356;null
282;2020-11-23T18:50:25+01:00;11.998;null;null;null;null;815.783;null
283;2020-11-23T18:50:26+01:00;0.02;null;null;null;null;613.482;null
284;2020-11-23T18:50:27+01:00;0.026;null;null;null;null;604.274;null
285;2020-11-23T18:50:28+01:00;0.027;null;null;null;null;751.912;null
286;2020-11-23T18:50:29+01:00;0.022;null;null;null;null;845.089;null
287;2020-11-23T18:50:30+01:00;0.021;null;null;null;null;776.505;null
288;2020-11-23T18:50:31+01:00;7.939;null;null;null;null;755.965;null
289;2020-11-23T18:50:32+01:00;20.411;null;null;null;null;784.733;null
290;2020-11-23T18:50:33+01:00;20.411;null;null;null;null;813.196;null
291;2020-11-23T18:50:34+01:00;0.03;null;null;null;null;808.572;null
292;2020-11-23T18:50:35+01:00;0.03;null;null;null;null;816.589;null
293;2020-11-23T18:50:36+01:00;0.035;null;null;null;null;816.498;null
294;2020-11-23T18:50:37+01:00;0.021;null;null;null;null;823.326;null
295;2020-11-23T18:50:38+01:00;0.02;null;null;null;null;822.972;null
296;2020-11-23T18:50:39+01:00;0.02;null;null;null;null;819.372;null
297;2020-11-23T18:50:40+01:00;0.028;null;null;null;null;800.376;null
298;2020-11-23T18:50:41+01:00;0.042;null;null;null;null;714.066;null
299;2020-11-23T18:50:42+01:00;0.036;null;null;null;null;null;null
300;2020-11-23T18:50:43+01:00;null;null;null;null;null;715.676;null
301;2020-11-23T18:50:44+01:00;0.028;null;null;null;null;662.662;null
302;2020-11-23T18:50:45+01:00;0.028;null;null;null;null;681.921;null
303;2020-11-23T18:50:46+01:00;0.021;null;null;null;null;689.342;null
304;2020-11-23T18:50:47+01:00;0.034;null;null;null;null;665.767;null
305;2020-11-23T18:50:48+01:00;0.042;null;null;null;null;642.74;null
306;2020-11-23T18:50:49+01:00;0.069;null;null;null;null;610.67;null
307;2020-11-23T18:50:50+01:00;0.03;null;null;null;null;608.177;null
308;2020-11-23T18:50:51+01:00;0.028;null;null;null;null;602.472;null
309;2020-11-23T18:50:52+01:00;25.507;null;null;null;null;655.849;null
310;2020-11-23T18:50:53+01:00;25.507;null;null;null;null;671.975;null
311;2020-11-23T18:50:54+01:00;4.748;null;null;null;null;686.841;null
312;2020-11-23T18:50:55+01:00;0.024;null;null;null;null;685.638;null
313;2020-11-23T18:50:56+01:00;0.033;null;null;null;null;747.361;null
314;2020-11-23T18:50:57+01:00;41.814;null;null;null;null;740.825;null
315;2020-11-23T18:50:58+01:00;0.785;null;null;null;null;644.574;null
316;2020-11-23T18:50:59+01:00;0.032;null;null;null;null;695.326;null
317;2020-11-23T18:51:00+01:00;14.728;null;null;null;null;601.745;null
318;2020-11-23T18:51:01+01:00;0.023;null;null;null;null;574.231;null
319;2020-11-23T18:51:02+01:00;41.404;null;null;null;null;690.888;null
320;2020-11-23T18:51:03+01:00;41.404;null;null;null;null;765.696;null
321;2020-11-23T18:51:04+01:00;0.046;null;null;null;null;625.176;null
322;2020-11-23T18:51:05+01:00;0.042;null;null;null;null;614.518;null
323;2020-11-23T18:51:06+01:00;16.916;null;null;null;null;488.087;null
324;2020-11-23T18:51:07+01:00;1.85;null;null;null;null;660.329;null
325;2020-11-23T18:51:08+01:00;17.493;null;null;null;null;582.821;null
326;2020-11-23T18:51:09+01:00;17.603;null;null;null;null;510.914;null
327;2020-11-23T18:51:10+01:00;8.16;null;null;null;null;578.074;null
328;2020-11-23T18:51:11+01:00;0.438;null;null;null;null;638.394;null
329;2020-11-23T18:51:12+01:00;16.68;null;null;null;null;625.069;null
330;2020-11-23T18:51:13+01:00;16.68;null;null;null;null;614.03;null
331;2020-11-23T18:51:14+01:00;8.848;null;null;null;null;620.829;null
332;2020-11-23T18:51:15+01:00;21.569;null;null;null;null;655.563;null
333;2020-11-23T18:51:16+01:00;5.451;null;null;null;null;542.861;null
334;2020-11-23T18:51:17+01:00;11.631;null;null;null;null;587.655;null
335;2020-11-23T18:51:18+01:00;27.499;null;null;null;null;527.368;null
336;2020-11-23T18:51:19+01:00;6.71;null;null;null;null;644.352;null
337;2020-11-23T18:51:20+01:00;16.028;null;null;null;null;656.821;null
338;2020-11-23T18:51:21+01:00;54.805;null;null;null;null;561.819;null
339;2020-11-23T18:51:22+01:00;31.221;null;null;null;null;null;null
340;2020-11-23T18:51:23+01:00;31.221;null;null;null;null;596.912;null
341;2020-11-23T18:51:24+01:00;8.142;null;null;null;null;655.935;null
342;2020-11-23T18:51:25+01:00;31.377;null;null;null;null;655.361;null
343;2020-11-23T18:51:26+01:00;10.844;null;null;null;null;586.982;null
344;2020-11-23T18:51:27+01:00;15.196;null;null;null;null;484.318;null
345;2020-11-23T18:51:28+01:00;12.121;null;null;null;null;492.971;null
346;2020-11-23T18:51:29+01:00;16.037;null;null;null;null;571.965;null
347;2020-11-23T18:51:30+01:00;17.481;null;null;null;null;506.926;null
348;2020-11-23T18:51:31+01:00;7.259;null;null;null;null;630.547;null
349;2020-11-23T18:51:32+01:00;8.159;null;null;null;null;619.37;null
350;2020-11-23T18:51:33+01:00;8.159;null;null;null;null;753.98;null
351;2020-11-23T18:51:34+01:00;0.028;null;null;null;null;784.862;null
352;2020-11-23T18:51:35+01:00;0.049;null;null;null;null;780.083;null
353;2020-11-23T18:51:36+01:00;0.028;null;null;null;null;764.646;null
354;2020-11-23T18:51:37+01:00;0.028;null;null;null;null;685.126;null
355;2020-11-23T18:51:38+01:00;0.038;null;null;null;null;600.957;null
356;2020-11-23T18:51:39+01:00;0.019;null;null;null;null;572.698;null
357;2020-11-23T18:51:40+01:00;0.028;null;null;null;null;569.788;null
358;2020-11-23T18:51:41+01:00;0.031;null;null;null;null;636.744;null
359;2020-11-23T18:51:42+01:00;0.029;null;null;null;null;null;null
360;2020-11-23T18:51:43+01:00;0.029;null;null;null;null;676.56;null
361;2020-11-23T18:51:44+01:00;16.312;null;null;null;null;665.597;null
362;2020-11-23T18:51:45+01:00;9.147;null;null;null;null;648.704;null
363;2020-11-23T18:51:46+01:00;7.18;null;null;null;null;604.999;null
364;2020-11-23T18:51:47+01:00;0.023;null;null;null;null;627.956;null
365;2020-11-23T18:51:48+01:00;7.992;null;null;null;null;756.047;null
366;2020-11-23T18:51:49+01:00;38.587;null;null;null;null;707.113;null
367;2020-11-23T18:51:50+01:00;14.345;null;null;null;null;615.481;null
368;2020-11-23T18:51:51+01:00;6.359;null;null;null;null;631.182;null
369;2020-11-23T18:51:52+01:00;10.793;null;null;null;null;627.094;null
370;2020-11-23T18:51:53+01:00;10.793;null;null;null;null;631.09;null
371;2020-11-23T18:51:54+01:00;10.594;null;null;null;null;674.812;null
372;2020-11-23T18:51:55+01:00;13.829;null;null;null;null;669.367;null
373;2020-11-23T18:51:56+01:00;17.463;null;null;null;null;650.092;null
374;2020-11-23T18:51:57+01:00;34.859;null;null;null;null;623.641;null
375;2020-11-23T18:51:58+01:00;14.754;null;null;null;null;595.206;null
376;2020-11-23T18:51:59+01:00;1.535;null;null;null;null;701.829;null
377;2020-11-23T18:52:00+01:00;19.896;null;null;null;null;646.937;null
378;2020-11-23T18:52:01+01:00;20.342;null;null;null;null;608.556;null
379;2020-11-23T18:52:02+01:00;13.343;null;null;null;null;610.452;null
380;2020-11-23T18:52:03+01:00;13.343;null;null;null;null;649.004;null
381;2020-11-23T18:52:04+01:00;6.323;null;null;null;null;646.839;null
382;2020-11-23T18:52:05+01:00;24.566;null;null;null;null;643.512;null
383;2020-11-23T18:52:06+01:00;11.923;null;null;null;null;621.184;null
384;2020-11-23T18:52:07+01:00;27.331;null;null;null;null;638.597;null
